PortfolioCode,Ticker,Shares,Price
ntest,REMX,55,74.12000274658203
ntest,MU,23,252.4199981689453
testt,REMX,25,74.12000274658203
testt,MU,10,252.4199981689453
testt,GOOG,8,317.75
testt,APP,3,724.6199951171875
nexus_NEXUSTEST,REMX,15.09,74.12000274658203
nexus_NEXUSTEST,MU,6.59,252.4199981689453
nexus_NEXUSTEST,GOOG,5.16,317.75
nexus_NEXUSTEST,APP,2.18,724.6199951171875
nexus_nt,REMX,27.01,74.43000030517578
nexus_nt,MU,11.34,263.7099914550781
nexus_ntm,REMX,27.01,74.43000030517578
nexus_ntm,MU,13.23602220697494,263.7099914550781
nexus_ntm,WBD,16.931933233110875,29.530000686645508
nexus_ntm,SNDK,2.147212912004832,232.86000061035156
nexus_ntm,TER,2.4508603179401884,204.00999450683594
nexus_ntm,ALB,3.7534717723871256,133.2100067138672
nexus_ntm,WDC,2.748007740512526,181.9499969482422
nexus_ntm,AMAT,1.8171906636062207,275.1499938964844
nexus_ntm,EPAM,2.36160965953701,211.72000122070312
nexus_ntm,JBHT,2.523595556845284,198.1300048828125
nexus_ntm,STX,1.6726882695690695,298.9200134277344
nexus_ntm,DG,4.0,133.2100067138672
nexus_ntm,DLTR,4.0,129.8699951171875
nexus_skynet,HPE,19.0,24.049999237060547
nexus_skynet,CPER,13.0,33.150001525878906
nexus_skynet,LIT,12.0,63.61000061035156
nexus_skynet,BYDDY,15,12.210000038146973
nexus_skynet,GLD,11.0,395.79998779296875
nexus_skynet,SLV,23.0,58.11000061035156
nexus_skynet,REMX,12.0,70.62999725341797
nexus_skynet,GLW,12.0,88.11000061035156
nexus_skynet,INTC,15.0,37.5099983215332
nexus_skynet,VRT,7.0,161.74000549316406
nexus_skynet,OEF,7.0,341.0400085449219
nexus_skynet,NVDA,0.46000000000000024,176.2899932861328
nexus_skynet,ASML,0.23000000000000007,1087.8199462890625
nexus_skynet,NOW,0.23000000000000007,765.2000122070312
nexus_skynet,TSM,0.4200000000000002,287.739990234375
nexus_skynet,GOOG,0.45000000000000023,309.32000732421875
nexus_skynet,MRVL,0.8300000000000003,84.26000213623047
nexus_skynet,META,0.25000000000000006,647.510009765625
nexus_skynet,AVGO,0.39000000000000024,339.80999755859375
nexus_skynet,SAP,0.37000000000000016,244.49000549316406
nexus_skynet,AAPL,0.4300000000000002,274.1099853515625
nexus_skynet,DELL,1.2300000000000002,130.50999450683594
nexus_skynet,MSFT,0.4700000000000002,474.82000732421875
nexus_skynet,GEV,0.3500000000000002,681.3499755859375
nexus_skynet,CCJ,1.1300000000000003,89.77999877929688
nexus_skynet,CEG,0.4200000000000002,357.1400146484375
nexus_skynet,VST,0.45000000000000023,168.25
nexus_skynet,ETN,0.3700000000000002,333.2099914550781
nexus_skynet,MP,0.8400000000000003,53.2599983215332
nexus_skynet,GE,0.40000000000000024,300.9800109863281
nexus_skynet,CRWD,0.3200000000000001,487.4700012207031
nexus_skynet,HWM,0.5100000000000002,197.24000549316406
nexus_skynet,PH,0.2700000000000001,883.469970703125
nexus_skynet,CDNS,0.39000000000000024,318.42999267578125
nexus_skynet,SNOW,0.37000000000000016,215.27999877929688
nexus_skynet,QTUM,0.7600000000000002,110.36000061035156
nexus_skynet,IBM,0.4200000000000002,308.6600036621094
nexus_skynet,COIN,0.6500000000000002,250.4199981689453
nexus_skynet,SPY,0.7300000000000002,680.72998046875
nexus_skynet,QQQ,0.8000000000000002,610.5399780273438
nexus_skynet,DIA,1.0100000000000002,485.1700134277344
nexus_skynet,USAR,0.8700000000000003,14.869999885559082
nexus_skynet,NNE,0.47000000000000025,31.350000381469727
nexus_skynet,IONQ,0.5500000000000003,46.06999969482422
nexus_skynet,RDDT,0.9400000000000003,218.5
nexus_skynet,MU,1.1600000000000001,237.5
